蒸发量,降雨量,径流量,降雨量_log,径流量_log,蒸发量_std
54.0,114.6,6023.8,4.750135956238277,8.703639562787142,-0.25444701681171766
76.3,82.4,2365.3,4.423648309364701,7.769082832781006,0.4388135284343631
117.9,111.7,1290.2,4.724729421045731,7.163327297515685,1.7320708684449895
99.0,262.1,9072.0,5.572534188046247,9.11305824916963,1.1445092404113153
142.0,70.3,1129.6,4.26689632742025,7.03050374424119,2.4812896639799913
107.7,183.8,2962.7,5.2192741592075835,7.994193766718538,1.4149741168077685
83.4,41.9,1580.1,3.758871825933971,7.365876086316099,0.6595377379073308
51.1,73.1,1024.0,4.3054155323020415,6.932447891572509,-0.3446019756105353
29.2,140.2,3272.8,4.950177325059141,8.093706668710254,-1.0254273541257448
28.9,26.1,2408.8,3.299533727885655,7.787299035489176,-1.0347537291738984
27.4,88.4,3145.2,4.493120682179469,8.053950654388405,-1.0813856044146661
19.8,115.1,3912.1,4.754451888703846,8.272085177723376,-1.3176537723012227
66.2,45.5,2496.5,3.8394523125933104,7.823045510522709,0.12482556847986029
61.2,154.6,3970.8,5.047288611744291,8.286974671430064,-0.030614015656032268
77.2,125.2,4167.7,4.837867950107113,8.335359515589007,0.46679265357882394
71.6,429.3,17331.4,6.064482639844554,9.760332861291852,0.292700319346624
119.0,216.6,6811.8,5.382658514981787,8.82655847469916,1.7662675769548857
78.4,306.4,12230.8,5.728149831104496,9.411794396919307,0.5040981537714382
83.0,54.7,1451.8,4.019980146933238,7.2812480078470285,0.6471025711764592
69.0,45.0,791.5,3.828641396489095,6.675192505751435,0.21187173559596004
44.6,49.0,792.3,3.912023005428146,6.676201460307957,-0.5466734349871956
21.3,119.6,2703.0,4.792479284293085,7.902487437162855,-1.2710218970604548
31.7,96.2,3059.9,4.576770711466393,8.026464269349368,-0.9477075620577985
33.6,59.9,1226.2,4.109233174715851,7.112490430612992,-0.8886405200861592
44.6,155.1,6184.3,5.050496827521386,8.729930788096526,-0.5466734349871956
40.0,273.7,11039.8,5.615679593101228,9.30935278097383,-0.6896778523922168
46.7,158.0,10132.6,5.0689042022202315,9.223611914169423,-0.4813888096501207
89.8,191.1,6982.1,5.258016069774511,8.851248223236123,0.858500405601273
84.7,137.9,4283.3,4.933754249760298,8.362712457126998,0.6999520297826628
74.3,226.2,7368.6,5.4258306868469965,8.905118709626366,0.3766376947800061
80.0,97.9,1983.5,4.594109238628667,7.59312227222312,0.5538388206949236
64.5,84.9,1104.4,4.45318382899021,7.007962539399163,0.07197610987365674
44.1,75.6,1887.1,4.338597076746545,7.543326311404487,-0.5622173934007849
23.4,205.4,9690.3,5.329816033607408,9.178983854813037,-1.20573727172338
