数据集,残差均值,残差标准差,残差最小值,残差最大值,残差中位数
训练集,802.85374182543,2561.817571445694,-3571.5737641477726,15698.238363866209,205.41990470783628
测试集,146.61779665942248,2046.0621249490202,-3444.0027635795404,8340.726716455869,-223.75944086886557
