样本索引,实际径流量,预测径流量,残差
70,4607.500000000002,4073.336765054913,534.1632349450888
71,3187.799999999998,4623.001625622134,-1435.2016256221364
72,14688.000000000024,7352.046464636159,7335.953535363865
73,2020.0000000000005,1662.8359398761015,357.16406012389893
74,3781.100000000001,2819.8372192178485,961.2627807821523
75,1621.9999999999998,2183.635178528071,-561.635178528071
76,5801.100000000005,4667.156058725608,1133.9439412743968
77,6608.299999999998,6391.509458534934,216.79054146506405
78,13226.000000000013,7286.485236209793,5939.51476379022
79,4035.100000000001,3058.935368745349,976.1646312546518
80,4908.300000000002,3693.3278715783454,1214.9721284216566
81,2401.0000000000005,1854.1121401840728,546.8878598159276
82,7882.100000000002,4707.9326242110765,3174.1673757889257
83,6571.900000000003,5644.091888625486,927.8081113745175
84,6023.800000000001,3339.4754779810473,2684.3245220189538
85,4360.0,4292.485072483467,67.51492751653313
86,16090.300000000014,10181.989604275852,5908.310395724162
87,2862.999999999998,2622.439177850456,240.56082214954222
88,6348.199999999996,6007.346165872465,340.8538341275316
89,3361.4999999999973,3252.0065402313044,109.4934597686929
90,297.39999999999986,219.45333494562283,77.94666505437704
91,6200.000000000005,4132.6513184997675,2067.348681500237
92,3433.9999999999995,3326.316095303268,107.68390469673159
93,1263.0000000000005,2252.032377101774,-989.0323771017734
94,3253.0000000000005,4355.959485262242,-1102.9594852622417
95,10814.999999999976,7250.9182911264215,3564.081708873555
96,3094.5,5214.174461027186,-2119.674461027186
97,773.4999999999999,1140.9585533096517,-367.45855330965185
98,1266.9000000000015,448.4805730248788,818.4194269751226
99,256.00000000000006,1797.6071157610975,-1541.6071157610975
100,1358.9999999999995,2451.922178222315,-1092.9221782223153
101,3994.799999999998,1818.6322872723767,2176.167712727621
102,1633.4,2754.333677881897,-1120.933677881897
103,1920.7000000000007,2342.278281162627,-421.57828116262635
104,2772.0000000000005,3648.099839290076,-876.0998392900756
105,1612.0000000000005,2219.460983884894,-607.4609838848937
106,10526.700000000026,5137.823435534921,5388.876564465105
107,30890.0,20497.634219006915,10392.365780993085
108,921.4,1043.0186632175632,-121.61866321756327
109,4086.4999999999973,1762.3156315929432,2324.184368407054
