样本索引,实际径流量,预测径流量,残差,R2,RMSE
0,13896.999999999995,7551.721521195494,6345.278478804501,0.66851201383099,2213.118675365742
1,2161.7000000000007,1207.2236360664178,954.4763639335829,0.66851201383099,2213.118675365742
2,1504.8999999999983,2986.5229997842257,-1481.6229997842274,0.66851201383099,2213.118675365742
3,838.2999999999998,1404.148648149669,-565.8486481496692,0.66851201383099,2213.118675365742
4,877.3000000000006,233.13877417745104,644.1612258225496,0.66851201383099,2213.118675365742
5,2144.1000000000004,3575.8399201702246,-1431.7399201702242,0.66851201383099,2213.118675365742
6,431.99999999999994,1332.3260368553447,-900.3260368553447,0.66851201383099,2213.118675365742
7,2022.7999999999997,5722.458888910202,-3699.6588889102027,0.66851201383099,2213.118675365742
8,975.5999999999999,971.5903189253793,4.00968107462063,0.66851201383099,2213.118675365742
9,181.40000000000006,751.2393991606715,-569.8393991606714,0.66851201383099,2213.118675365742
10,5186.999999999996,3694.6325690796225,1492.3674309203739,0.66851201383099,2213.118675365742
11,1496.0000000000007,2270.0437058587354,-774.0437058587347,0.66851201383099,2213.118675365742
12,5622.999999999997,4370.203306022587,1252.7966939774105,0.66851201383099,2213.118675365742
13,2518.9,3317.560421106385,-798.660421106385,0.66851201383099,2213.118675365742
14,6380.900000000003,3570.1244882316823,2810.775511768321,0.66851201383099,2213.118675365742
15,620.9999999999999,395.4089150771398,225.5910849228601,0.66851201383099,2213.118675365742
16,6156.900000000004,3297.6033709962708,2859.2966290037334,0.66851201383099,2213.118675365742
17,799.0299999999999,1141.916576752405,-342.8865767524052,0.66851201383099,2213.118675365742
18,78.99999999999997,978.2121337468586,-899.2121337468586,0.66851201383099,2213.118675365742
19,1319.3000000000002,4871.807905179915,-3552.507905179915,0.66851201383099,2213.118675365742
20,620.3999999999999,1577.7837715840533,-957.3837715840534,0.66851201383099,2213.118675365742
21,811.4999999999999,881.5191904475884,-70.01919044758847,0.66851201383099,2213.118675365742
22,3272.8,3985.4588013478847,-712.6588013478845,0.66851201383099,2213.118675365742
23,4729.999999999998,5404.28329889951,-674.2832988995115,0.66851201383099,2213.118675365742
24,1030.7000000000003,1690.2915471070942,-659.5915471070939,0.66851201383099,2213.118675365742
25,920.0,1532.4280536375975,-612.4280536375975,0.66851201383099,2213.118675365742
26,5299.2999999999965,5654.678357182903,-355.37835718290626,0.66851201383099,2213.118675365742
27,965.9999999999999,3032.1131522355013,-2066.1131522355013,0.66851201383099,2213.118675365742
28,11039.8,7201.946542540411,3837.853457459588,0.66851201383099,2213.118675365742
29,848.0000000000003,2740.6118867227256,-1892.611886722725,0.66851201383099,2213.118675365742
30,3315.4,3175.5554181105836,139.84458188941653,0.66851201383099,2213.118675365742
31,2791.899999999999,4513.404909528676,-1721.5049095286772,0.66851201383099,2213.118675365742
32,4843.999999999997,2505.5222554318225,2338.477744568175,0.66851201383099,2213.118675365742
33,1607.0000000000005,1570.0731493756891,36.92685062431133,0.66851201383099,2213.118675365742
34,3195.0000000000005,3452.696489870613,-257.69648987061237,0.66851201383099,2213.118675365742
35,5695.999999999996,5763.2695171716605,-67.26951717166412,0.66851201383099,2213.118675365742
36,12230.800000000012,7793.756869504876,4437.043130495136,0.66851201383099,2213.118675365742
37,722.2999999999997,1556.887977933428,-834.5879779334282,0.66851201383099,2213.118675365742
38,1564.9999999999998,1878.0202735337516,-313.02027353375183,0.66851201383099,2213.118675365742
39,1615.9999999999998,2230.335379102439,-614.3353791024394,0.66851201383099,2213.118675365742
40,703.6000000000004,662.9974658168674,40.602534183133,0.66851201383099,2213.118675365742
41,1129.5999999999995,2021.4728753831032,-891.8728753831037,0.66851201383099,2213.118675365742
42,688.2000000000006,596.3525720835153,91.84742791648534,0.66851201383099,2213.118675365742
43,22498.0,12830.807545474227,9667.192454525773,0.66851201383099,2213.118675365742
44,1024.0000000000005,2204.9450348921305,-1180.94503489213,0.66851201383099,2213.118675365742
45,1025.0,2549.6180947359276,-1524.6180947359276,0.66851201383099,2213.118675365742
46,1901.1999999999991,2556.2838602006523,-655.0838602006531,0.66851201383099,2213.118675365742
47,3800.000000000003,1976.3661094957395,1823.6338905042637,0.66851201383099,2213.118675365742
48,791.4999999999998,1421.767008860171,-630.2670088601712,0.66851201383099,2213.118675365742
49,6725.000000000003,4977.676380721588,1747.3236192784143,0.66851201383099,2213.118675365742
50,2577.2,3772.2700738764656,-1195.0700738764658,0.66851201383099,2213.118675365742
51,1646.0999999999997,3104.69389078314,-1458.5938907831403,0.66851201383099,2213.118675365742
52,11892.099999999997,5012.305568757045,6879.794431242952,0.66851201383099,2213.118675365742
53,3258.399999999998,3170.8764629163115,87.52353708368628,0.66851201383099,2213.118675365742
54,1084.4999999999998,2582.2625582701344,-1497.7625582701346,0.66851201383099,2213.118675365742
55,6956.999999999996,5200.032325306444,1756.967674693552,0.66851201383099,2213.118675365742
56,623.9999999999998,558.7529900024458,65.24700999755396,0.66851201383099,2213.118675365742
57,2894.9999999999995,3117.1132381656025,-222.11323816560298,0.66851201383099,2213.118675365742
58,2013.9999999999993,2624.761637897174,-610.7616378971745,0.66851201383099,2213.118675365742
59,5032.199999999998,3972.4646200368825,1059.7353799631155,0.66851201383099,2213.118675365742
60,7424.999999999999,5727.580901380339,1697.41909861966,0.66851201383099,2213.118675365742
61,2092.8,4047.7302189217667,-1954.9302189217665,0.66851201383099,2213.118675365742
62,3059.899999999998,2845.3887857499326,214.51121425006522,0.66851201383099,2213.118675365742
63,1445.2,1683.3231775581858,-238.12317755818572,0.66851201383099,2213.118675365742
