Alpha,R2_Score_Mean,R2_Score_Std,Best_Alpha
1e-06,0.5900640169217937,0.08859350962961063,0.03162277660168379
3.162277660168379e-06,0.5900641512832214,0.08859255897360245,0.03162277660168379
1e-05,0.5900645759603822,0.08858955287579139,0.03162277660168379
3.1622776601683795e-05,0.5900659091172165,0.0885800410020887,0.03162277660168379
0.0001,0.590070072165442,0.08854994643004431,0.03162277660168379
0.00031622776601683794,0.5900827030417921,0.08845461946517945,0.03162277660168379
0.001,0.5901174434552754,0.08815171952064442,0.03162277660168379
0.0031622776601683794,0.5901607478437295,0.0871667928752054,0.03162277660168379
0.01,0.5894435659567165,0.08387186986533965,0.03162277660168379
0.03162277660168379,0.590564996396408,0.07876837417082728,0.03162277660168379
0.1,0.5894179547188649,0.0687903888999929,0.03162277660168379
0.31622776601683794,0.4944349539714704,0.04171541735949826,0.03162277660168379
1.0,-0.02090281894778263,0.018638968679896527,0.03162277660168379
3.1622776601683795,-0.020902951025249507,0.01863915942098025,0.03162277660168379
10.0,-0.020902863492893786,0.018638890038715623,0.03162277660168379
