样本索引,实际径流量,预测径流量,残差,R2,RMSE
0,13896.999999999995,7661.637404201624,6235.36259579837,0.6791026139998153,2177.4786026766183
1,2161.7000000000007,1210.2088306666421,951.4911693333586,0.6791026139998153,2177.4786026766183
2,1504.8999999999983,3048.3124528873595,-1543.4124528873613,0.6791026139998153,2177.4786026766183
3,838.2999999999998,1390.9236514174413,-552.6236514174415,0.6791026139998153,2177.4786026766183
4,877.3000000000006,229.51400670389467,647.785993296106,0.6791026139998153,2177.4786026766183
5,2144.1000000000004,3547.4534951591713,-1403.353495159171,0.6791026139998153,2177.4786026766183
6,431.99999999999994,1340.6979528308157,-908.6979528308157,0.6791026139998153,2177.4786026766183
7,2022.7999999999997,5417.345723877765,-3394.545723877765,0.6791026139998153,2177.4786026766183
8,975.5999999999999,1000.7047800656703,-25.10478006567041,0.6791026139998153,2177.4786026766183
9,181.40000000000006,706.1817374327267,-524.7817374327266,0.6791026139998153,2177.4786026766183
10,5186.999999999996,3824.0473458952893,1362.952654104707,0.6791026139998153,2177.4786026766183
11,1496.0000000000007,2342.838043420247,-846.8380434202461,0.6791026139998153,2177.4786026766183
12,5622.999999999997,4380.583726383031,1242.4162736169665,0.6791026139998153,2177.4786026766183
13,2518.9,3240.359628225938,-721.4596282259381,0.6791026139998153,2177.4786026766183
14,6380.900000000003,3647.4955209300497,2733.4044790699536,0.6791026139998153,2177.4786026766183
15,620.9999999999999,391.6345416111806,229.36545838881926,0.6791026139998153,2177.4786026766183
16,6156.900000000004,3355.8935387741467,2801.0064612258575,0.6791026139998153,2177.4786026766183
17,799.0299999999999,1175.063627880364,-376.0336278803642,0.6791026139998153,2177.4786026766183
18,78.99999999999997,982.4019147741074,-903.4019147741074,0.6791026139998153,2177.4786026766183
19,1319.3000000000002,4721.647361078493,-3402.347361078493,0.6791026139998153,2177.4786026766183
20,620.3999999999999,1607.7151557558846,-987.3151557558847,0.6791026139998153,2177.4786026766183
21,811.4999999999999,903.0680732905518,-91.56807329055187,0.6791026139998153,2177.4786026766183
22,3272.8,4105.832783717442,-833.0327837174418,0.6791026139998153,2177.4786026766183
23,4729.999999999998,5537.327554356394,-807.3275543563959,0.6791026139998153,2177.4786026766183
24,1030.7000000000003,1707.8829114477314,-677.1829114477312,0.6791026139998153,2177.4786026766183
25,920.0,1581.5750469235593,-661.5750469235593,0.6791026139998153,2177.4786026766183
26,5299.2999999999965,5442.990469655759,-143.69046965576217,0.6791026139998153,2177.4786026766183
27,965.9999999999999,3093.14054156678,-2127.14054156678,0.6791026139998153,2177.4786026766183
28,11039.8,7362.249374894987,3677.550625105012,0.6791026139998153,2177.4786026766183
29,848.0000000000003,2820.2074015151015,-1972.207401515101,0.6791026139998153,2177.4786026766183
30,3315.4,3104.9895660325365,210.41043396746363,0.6791026139998153,2177.4786026766183
31,2791.899999999999,4455.600789818008,-1663.7007898180086,0.6791026139998153,2177.4786026766183
32,4843.999999999997,2540.69156142052,2303.3084385794773,0.6791026139998153,2177.4786026766183
33,1607.0000000000005,1584.4471876717246,22.552812328275877,0.6791026139998153,2177.4786026766183
34,3195.0000000000005,3420.468624809286,-225.46862480928576,0.6791026139998153,2177.4786026766183
35,5695.999999999996,5609.558948301665,86.44105169833165,0.6791026139998153,2177.4786026766183
36,12230.800000000012,7717.673515048605,4513.126484951407,0.6791026139998153,2177.4786026766183
37,722.2999999999997,1560.0208887560293,-837.7208887560296,0.6791026139998153,2177.4786026766183
38,1564.9999999999998,1765.0861699026493,-200.08616990264954,0.6791026139998153,2177.4786026766183
39,1615.9999999999998,2275.0709310731136,-659.0709310731138,0.6791026139998153,2177.4786026766183
40,703.6000000000004,680.3295862751156,23.270413724884747,0.6791026139998153,2177.4786026766183
41,1129.5999999999995,1892.9432228544904,-763.3432228544909,0.6791026139998153,2177.4786026766183
42,688.2000000000006,610.2775988879865,77.92240111201409,0.6791026139998153,2177.4786026766183
43,22498.0,13017.052236884032,9480.947763115968,0.6791026139998153,2177.4786026766183
44,1024.0000000000005,2227.6641498883455,-1203.664149888345,0.6791026139998153,2177.4786026766183
45,1025.0,2369.077444952764,-1344.077444952764,0.6791026139998153,2177.4786026766183
46,1901.1999999999991,2640.4597580069703,-739.2597580069712,0.6791026139998153,2177.4786026766183
47,3800.000000000003,1930.9730521150786,1869.0269478849245,0.6791026139998153,2177.4786026766183
48,791.4999999999998,1413.8246455053456,-622.3246455053459,0.6791026139998153,2177.4786026766183
49,6725.000000000003,4897.782239714255,1827.2177602857473,0.6791026139998153,2177.4786026766183
50,2577.2,3717.884654897757,-1140.6846548977574,0.6791026139998153,2177.4786026766183
51,1646.0999999999997,2904.6506974533986,-1258.550697453399,0.6791026139998153,2177.4786026766183
52,11892.099999999997,4930.285070616154,6961.814929383842,0.6791026139998153,2177.4786026766183
53,3258.399999999998,3154.87342013896,103.52657986103804,0.6791026139998153,2177.4786026766183
54,1084.4999999999998,2451.012564280773,-1366.5125642807732,0.6791026139998153,2177.4786026766183
55,6956.999999999996,5138.83561789902,1818.1643821009766,0.6791026139998153,2177.4786026766183
56,623.9999999999998,572.0086063543846,51.991393645615176,0.6791026139998153,2177.4786026766183
57,2894.9999999999995,3093.2677374940677,-198.26773749406811,0.6791026139998153,2177.4786026766183
58,2013.9999999999993,2639.777276928824,-625.7772769288247,0.6791026139998153,2177.4786026766183
59,5032.199999999998,4103.344024577506,928.8559754224916,0.6791026139998153,2177.4786026766183
60,7424.999999999999,5975.392332340931,1449.6076676590683,0.6791026139998153,2177.4786026766183
