样本索引,实际径流量,预测径流量,残差,R2,RMSE
0,13896.999999999995,7821.831433649812,6075.168566350182,0.6926949692309254,2130.8635539676025
1,2161.7000000000007,1191.4788499188448,970.2211500811559,0.6926949692309254,2130.8635539676025
2,1504.8999999999983,3065.900349295689,-1561.0003492956907,0.6926949692309254,2130.8635539676025
3,838.2999999999998,1368.4913448809573,-530.1913448809574,0.6926949692309254,2130.8635539676025
4,877.3000000000006,218.24084790246727,659.0591520975333,0.6926949692309254,2130.8635539676025
5,2144.1000000000004,3550.788376548124,-1406.6883765481234,0.6926949692309254,2130.8635539676025
6,431.99999999999994,1323.7071897673889,-891.7071897673889,0.6926949692309254,2130.8635539676025
7,2022.7999999999997,5396.448701902155,-3373.6487019021556,0.6926949692309254,2130.8635539676025
8,975.5999999999999,988.9202563048925,-13.32025630489261,0.6926949692309254,2130.8635539676025
9,181.40000000000006,676.9239674621584,-495.52396746215834,0.6926949692309254,2130.8635539676025
10,5186.999999999996,3876.0834677749313,1310.916532225065,0.6926949692309254,2130.8635539676025
11,1496.0000000000007,2352.1472186270826,-856.1472186270819,0.6926949692309254,2130.8635539676025
12,5622.999999999997,4413.402268529588,1209.5977314704096,0.6926949692309254,2130.8635539676025
13,2518.9,3224.8103555060306,-705.9103555060306,0.6926949692309254,2130.8635539676025
14,6380.900000000003,3681.3100644709994,2699.589935529004,0.6926949692309254,2130.8635539676025
15,620.9999999999999,376.6218753779464,244.37812462205346,0.6926949692309254,2130.8635539676025
16,6156.900000000004,3378.437017776774,2778.46298222323,0.6926949692309254,2130.8635539676025
17,799.0299999999999,1164.2996030001652,-365.2696030001654,0.6926949692309254,2130.8635539676025
18,78.99999999999997,964.0420768040583,-885.0420768040583,0.6926949692309254,2130.8635539676025
19,1319.3000000000002,4721.1236491564105,-3401.8236491564103,0.6926949692309254,2130.8635539676025
20,620.3999999999999,1597.8178478645902,-977.4178478645904,0.6926949692309254,2130.8635539676025
21,811.4999999999999,889.5217895169058,-78.02178951690587,0.6926949692309254,2130.8635539676025
22,3272.8,4161.862841844996,-889.062841844996,0.6926949692309254,2130.8635539676025
23,4729.999999999998,5634.976976298694,-904.9769762986962,0.6926949692309254,2130.8635539676025
24,1030.7000000000003,1695.417784524517,-664.7177845245167,0.6926949692309254,2130.8635539676025
25,920.0,1576.7017498361463,-656.7017498361463,0.6926949692309254,2130.8635539676025
26,5299.2999999999965,5446.401216947207,-147.10121694721056,0.6926949692309254,2130.8635539676025
27,965.9999999999999,3111.347931290076,-2145.347931290076,0.6926949692309254,2130.8635539676025
28,11039.8,7525.871742214954,3513.9282577850454,0.6926949692309254,2130.8635539676025
29,848.0000000000003,2838.644477952828,-1990.6444779528274,0.6926949692309254,2130.8635539676025
30,3315.4,3088.6023726101957,226.79762738980435,0.6926949692309254,2130.8635539676025
31,2791.899999999999,4472.234841405807,-1680.3348414058078,0.6926949692309254,2130.8635539676025
32,4843.999999999997,2542.604483597045,2301.395516402952,0.6926949692309254,2130.8635539676025
33,1607.0000000000005,1570.2504481265976,36.74955187340288,0.6926949692309254,2130.8635539676025
34,3195.0000000000005,3420.169981999504,-225.16998199950376,0.6926949692309254,2130.8635539676025
35,5695.999999999996,5632.677823044167,63.32217695582949,0.6926949692309254,2130.8635539676025
36,12230.800000000012,7829.600197734533,4401.199802265479,0.6926949692309254,2130.8635539676025
37,722.2999999999997,1542.70693274602,-820.4069327460202,0.6926949692309254,2130.8635539676025
38,1564.9999999999998,1719.953764282362,-154.95376428236227,0.6926949692309254,2130.8635539676025
39,1615.9999999999998,2275.842104727717,-659.8421047277172,0.6926949692309254,2130.8635539676025
40,703.6000000000004,667.0137732347855,36.58622676521486,0.6926949692309254,2130.8635539676025
41,1129.5999999999995,1845.0617159771928,-715.4617159771933,0.6926949692309254,2130.8635539676025
42,688.2000000000006,596.7337966735245,91.46620332647615,0.6926949692309254,2130.8635539676025
43,22498.0,13416.062217887402,9081.937782112598,0.6926949692309254,2130.8635539676025
44,1024.0000000000005,2221.9159249275817,-1197.9159249275813,0.6926949692309254,2130.8635539676025
45,1025.0,2313.715825802841,-1288.7158258028412,0.6926949692309254,2130.8635539676025
46,1901.1999999999991,2657.2340346602946,-756.0340346602954,0.6926949692309254,2130.8635539676025
47,3800.000000000003,1904.0936902764158,1895.9063097235874,0.6926949692309254,2130.8635539676025
48,791.4999999999998,1392.8545891437634,-601.3545891437636,0.6926949692309254,2130.8635539676025
49,6725.000000000003,4920.130192371514,1804.869807628489,0.6926949692309254,2130.8635539676025
50,2577.2,3718.056843772906,-1140.8568437729064,0.6926949692309254,2130.8635539676025
51,1646.0999999999997,2852.3314817355936,-1206.231481735594,0.6926949692309254,2130.8635539676025
52,11892.099999999997,4952.951317117022,6939.148682882975,0.6926949692309254,2130.8635539676025
53,3258.399999999998,3153.630711073773,104.76928892622482,0.6926949692309254,2130.8635539676025
54,1084.4999999999998,2408.7340050946113,-1324.2340050946116,0.6926949692309254,2130.8635539676025
55,6956.999999999996,5172.6808758531715,1784.3191241468248,0.6926949692309254,2130.8635539676025
56,623.9999999999998,558.7166579457136,65.28334205428621,0.6926949692309254,2130.8635539676025
57,2894.9999999999995,3088.811576961955,-193.81157696195532,0.6926949692309254,2130.8635539676025
58,2013.9999999999993,2637.8199465784783,-623.819946578479,0.6926949692309254,2130.8635539676025
59,5032.199999999998,4162.225404989634,869.9745950103643,0.6926949692309254,2130.8635539676025
60,7424.999999999999,6118.235509885218,1306.7644901147814,0.6926949692309254,2130.8635539676025
