Alpha,R2_Score_Mean,R2_Score_Std,Best_Alpha
1e-06,0.5900640345850079,0.08859359351850034,0.04641588833612782
5.994842503189409e-06,0.5900644331823329,0.08859181653089118,0.04641588833612782
3.5938136638046256e-05,0.590066818395236,0.0885811630820661,0.04641588833612782
0.00021544346900318845,0.5900809894198018,0.08851729800232867,0.04641588833612782
0.001291549665014884,0.5901615732166026,0.08813467411822465,0.04641588833612782
0.007742636826811269,0.5903213435331904,0.08602938692665511,0.04641588833612782
0.04641588833612782,0.5909313260270461,0.07593842561254621,0.04641588833612782
0.2782559402207126,0.5531836283235041,0.05148179419237546,0.04641588833612782
1.6681005372000592,-0.020902502155390846,0.0186386251229918,0.04641588833612782
10.0,-0.02090284531925568,0.01863893667715693,0.04641588833612782
