模型,训练集_R2,训练集_RMSE,训练集_MAE,训练集_NSE,测试集_R2,测试集_RMSE,测试集_MAE,测试集_NSE
SGD_OLS (None),0.6393476820762187,2684.6756601368083,1706.3890134462472,0.6393476820762187,0.7152128486647793,2051.3086060971327,1330.9120689704557,0.7152128486647793
SGD_Ridge (L2),0.6145437756664626,2775.4601303565764,1749.2289511503232,0.6145437756664626,0.6926949692309254,2130.8635539676025,1363.6240056046163,0.6926949692309254
SGD_Lasso (L1),0.5966714601587018,2839.0754780428697,1780.8569484806253,0.5966714601587018,0.66851201383099,2213.118675365742,1412.4087704394674,0.66851201383099
SGD_ElasticNet,0.6007263801290449,2824.7679049069775,1772.8633411261997,0.6007263801290449,0.6791026139998153,2177.4786026766183,1384.6712780017733,0.6791026139998153
