Epoch,MSE_对数空间,MSE_原始空间
1,11.57627573023678,38509398.42104706
2,2.3187884763605133,29054707.674366385
3,0.6906111542734065,17315343.86714551
4,0.402275819036469,11139713.227297723
5,0.3505752971310297,8750320.191561094
6,0.34106711737334305,7864439.655191015
7,0.33922552452504134,7526922.391367159
8,0.3388327065046352,7395329.09519355
9,0.3387355399786146,7343634.652958766
10,0.3387070354964802,7323419.054745151
11,0.3386974086208694,7315623.506373663
12,0.3386938691960636,7312689.180245532
13,0.33869251866616673,7311627.015325739
14,0.338692000161361,7311267.291708292
15,0.3386918039420234,7311160.35862443
16,0.33869173211281195,7311138.114312372
17,0.33869170735263743,7311140.444364515
18,0.3386916997533963,7311147.446006752
19,0.3386916980165597,7311153.498854113
20,0.33869169804333693,7311157.650670512
21,0.3386916984475282,7311160.2274826355
22,0.338691698821347,7311161.7410778785
23,0.3386916990842664,7311162.6001917785
24,0.3386916992496458,7311163.0767531935
25,0.33869169934760884,7311163.336873009
26,0.3386916994035346,7311163.47719487
27,0.3386916994346872,7311163.55223143
28,0.33869169945174465,7311163.592091003
29,0.3386916994609685,7311163.613156348
30,0.33869169946591005,7311163.624244799
31,0.338691699468539,7311163.630063523
32,0.3386916994699299,7311163.633109183
33,0.33869169947066274,7311163.63470036
34,0.3386916994710477,7311163.635530371
35,0.3386916994712492,7311163.635962796
36,0.3386916994713546,7311163.636187757
37,0.33869169947140954,7311163.636304824
38,0.33869169947143823,7311163.6363655375
39,0.33869169947145317,7311163.636397213
40,0.3386916994714609,7311163.636413645
41,0.338691699471465,7311163.63642223
42,0.33869169947146704,7311163.6364266295
43,0.33869169947146816,7311163.636428896
44,0.3386916994714687,7311163.636430069
45,0.33869169947146893,7311163.636430676
46,0.33869169947146904,7311163.636430952
47,0.3386916994714692,7311163.636431127
48,0.33869169947146927,7311163.636431179
49,0.33869169947146927,7311163.636431218
50,0.3386916994714692,7311163.636431234
51,0.33869169947146915,7311163.636431236
52,0.3386916994714692,7311163.636431224
53,0.3386916994714692,7311163.636431226
54,0.33869169947146927,7311163.636431226
55,0.3386916994714692,7311163.6364312265
56,0.3386916994714692,7311163.6364312265
57,0.3386916994714692,7311163.6364312265
58,0.3386916994714692,7311163.6364312265
59,0.3386916994714692,7311163.6364312265
60,0.3386916994714692,7311163.6364312265
61,0.3386916994714692,7311163.6364312265
62,0.3386916994714692,7311163.6364312265
63,0.3386916994714692,7311163.6364312265
64,0.3386916994714692,7311163.6364312265
65,0.3386916994714692,7311163.6364312265
66,0.3386916994714692,7311163.6364312265
67,0.3386916994714692,7311163.6364312265
68,0.3386916994714692,7311163.6364312265
69,0.3386916994714692,7311163.6364312265
70,0.3386916994714692,7311163.6364312265
71,0.3386916994714692,7311163.6364312265
72,0.3386916994714692,7311163.6364312265
73,0.3386916994714692,7311163.6364312265
74,0.3386916994714692,7311163.6364312265
75,0.3386916994714692,7311163.6364312265
76,0.3386916994714692,7311163.6364312265
77,0.3386916994714692,7311163.6364312265
78,0.3386916994714692,7311163.6364312265
79,0.3386916994714692,7311163.6364312265
80,0.3386916994714692,7311163.6364312265
81,0.3386916994714692,7311163.6364312265
82,0.3386916994714692,7311163.6364312265
83,0.3386916994714692,7311163.6364312265
84,0.3386916994714692,7311163.6364312265
85,0.3386916994714692,7311163.6364312265
86,0.3386916994714692,7311163.6364312265
87,0.3386916994714692,7311163.6364312265
88,0.3386916994714692,7311163.6364312265
89,0.3386916994714692,7311163.6364312265
90,0.3386916994714692,7311163.6364312265
91,0.3386916994714692,7311163.6364312265
92,0.3386916994714692,7311163.6364312265
93,0.3386916994714692,7311163.6364312265
94,0.3386916994714692,7311163.6364312265
95,0.3386916994714692,7311163.6364312265
96,0.3386916994714692,7311163.6364312265
97,0.3386916994714692,7311163.6364312265
98,0.3386916994714692,7311163.6364312265
99,0.3386916994714692,7311163.6364312265
100,0.3386916994714692,7311163.6364312265
